course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 MATH 1P12 STAT 1P98 two elective credits (see program notes 1 , 7, and 8) Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P03,COSC,3P03,,",","3P32 and 3P71 MATH 1P05 and 1P06 one COSC credit numbered 2(alpha)00 or higher (see program notes 7 and 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above(see program notes 1 , 7, and 8) Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",","4P02 and 4P61 two COSC credits numbered 3(alpha)00 or higher ( see program notes 7 and 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above (see program notes 1 , 7, and 8) Computer Science Co-op (honours only) Students admitted to the Computer Science program must follow an approved program pattern. The most common pattern is listed below. For other approved patterns, consult the Co-op Office. Failure to adhere to an approved pattern may result in removal from the program. Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,or,1P71 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit one-half elective credit (see program note 1 ) Winter Term: SCIE 0N90 Year 2 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,and,2P12 MATH 1P12 one-half COSC credit (,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P89,COSC,2P89,,recommended),one-half elective credit (see program notes 1 and 8 ) Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 0N01,COSC,0N01,,and,2C01 Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P13,COSC,2P13,,and,3P32 STAT 1P98 one elective credit (see program notes 1 and 8 ) Year 3 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 0N02,COSC,0N02,,and,2C02 Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P05,COSC,2P05,,one COSC credit numbered 2(alpha)00 or higher,one elective credit numbered 2 (alpha) 00 or above(see program notes 1 and 8 ) Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 0N03,COSC,0N03,,and,2C03 Year 4,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P03,COSC,3P03,,",","3P71 , 4P01 and 4P02 MATH 1P05 and 1P06 one-half COSC credit numbered 3(alpha)00 or higher (see program note 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above(see program notes 1 and 8 ) Year 5 Fall Term:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,one COSC credit numbered 3(alpha)00 or higher (see,program note 8 ) one elective credit numbered 2 (alpha) 00 or above (see program note 1 and 8 ) BSc with Major Program Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,or,1P71 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit one-half elective credit (see program note 1 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 MATH 1P12 STAT 1P98 two elective credits (see program notes 1 and 8 ) Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P03,COSC,3P03,,",",3P32 and 3P71 MATH 1P05 and 1P06 ; or MATH 1P97 and one of,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 one COSC credit numbered 2(alpha)00 or higher ( see program note 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above (see program notes 1 and 8 ) Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",",4P02 One of,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 two COSC credits numbered 3(alpha)00 or higher ( see program note 8 ) one and one-half elective credits numbered 2 (alpha) 00 or above (see program notes 1 and 8 ) Computer Science as a Second Degree Program A student holding an honours or Pass degree in another discipline may obtain a BSc (Honours) in Computer Science or a BSc with a Major in Computer Science. Students should refer to the University regulations concerning ""Requirements for a Second or Subsequent Degree"" section for further information. Previous or transfer credits may be used to satisfy some of the following requirements. Applicants must be able to demonstrate an acceptable level of fluency and accuracy in spoken and written English. Prior to admission, an applicant holding a degree from a non-Canadian university will be required to provide evidence of English language proficiency as demonstrated through one of the means outlined in the ""Proof of Proficiency in English"" section. The additional courses taken for a second degree in Computer Science must include a minimum of five Brock COSC credits. All elective credits should be numbered 2 (alpha) 00 or above. A second-degree program is often taken as part-time study since the normal prerequisite structure requires a minimum of four years of study. A student wishing to pursue full-time study can usually complete the program in three years by following the pattern of study below. Honours Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,",",1P03 and,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,MATH 1P12,", 1P66 , 1P67 STAT 1P98 Spring/Summer Sessions:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,Year 2,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P05,COSC,2P05,,",","2P12 , 2P13 , 3P03 , 3P32 and 3P71 MATH 1P05 and 1P06 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",",4P02 and 4P61 one COSC credit two COSC credits numbered 3 (alpha) 90 or above BSc with Major Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,",",1P03 and,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,MATH 1P12,", 1P66 , 1P67 STAT 1P98 Spring/Summer Sessions:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,Year 2,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P05,COSC,2P05,,",","2P12 , 2P13 , 3P03 , 3P32 and 3P71 MATH 1P05 and 1P06 ; or MATH 1P97 and one of",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,",",4P02 and one of,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P61,COSC,4P61,,",","MATH 2P12 , 2P90 , 2P91 , 2P92 , 2P94 , 4P71 , STAT 2P98 one COSC credit two COSC credits numbered 3 (alpha) 90 or above Combined Major Program Students may take a combined major in Computer Science and a second discipline. For requirements in the other discipline, the student should consult the relevant department/centre. It should be noted that not all departments/centres provide a combined major option. BSc (honours) Computer Science and another Science Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03 MATH 1P66 and 1P67 one MATH credit (see program note 2 ) one credit in the co-major discipline one Social Sciences context credit Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 two credits in the co-major discipline one Humanities context credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 MATH 1P12 STAT 1P98 two credits in co-major discipline Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,4P02 one COSC credit numbered 3 (alpha) 90 or above two credits in the co-major discipline numbered 3 (alpha) 90 or above one elective credit BSc (honours) Computer Science and Mathematics Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 MATH 1P01 , 1P02, 1P66 and 1P67 one Humanities context credit one Social Sciences context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 MATH 1P11 , 1P40 , and 2P03 STAT 2P81 one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 2P95,", 3P03 and 3P32 MATH 2P40 MATH 2P12 or 2P92 STAT 2P82 one-half MATH credit (see program note 8 ) one elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,4P02 one COSC credit numbered 3 (alpha) 90 or above MATH 3P60 and 4P61 one-half MATH credit (see program note 8 ) one-half MATH credit numbered 3 (alpha) 90 or above (see program note 8 ) one elective credit numbered 2 (alpha) 00 or above BSc Computer Science and Mathematics Co-op (honours only) Consult the Mathematics entry for a listing of program requirements. BSc (honours) Computer Science and Physics Consult the Physics entry for a listing of program requirements. BA (honours; with Major) or BSc (honours; with Major) Computer Science and a Humanities or a Social Sciences Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03 MATH 1P66 and 1P67 one credit in the co-major discipline one Humanities context credit (see program note 3 ) one Social Sciences context credit (see program note 3 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 two credits in the co-major discipline one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 MATH 1P97 STAT 1P98 two credits in the co-major discipline Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,4P02 one COSC credit numbered 3 (alpha) 90 or above two credits in the co-major discipline numbered 3 (alpha) 90 or above one elective credit BSc (Honours) Computer Science and Visual Arts Year 1,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 VISA 1P95 , 1P96 , 1Q98 and 1Q99 MATH 1P66 and 1P67 one Social Sciences context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 VISA 2P61 and 2P96 one VISA credit numbered 2 (alpha) 00 or above ( VISA 2P97 and 2P98 recommended) one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 one VISA credit numbered 3 (alpha) 00 or above (VISA 3F96 recommended) MATH 1P12 and 1P97 one elective credit numbered 2 (alpha) 00 or above Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P89,COSC,2P89,,",","3P98 , 4P01 and 4P02 one VISA credit numbered 2 (alpha) 00 or above one and one-half VISA credits numbered 3 (alpha) 90 or above STAT 1P98 BA (honours) or BSc (honours) Computer Science and Economics Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 ECON 1P91 and 1P92 MATH 1P66 , 1P67 , and 1P97 (see program note 4 ) STAT 1P98 (see program note 4 ) one Humanities context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 ECON 2P21 , 2P22 and 2P30 one-half ECON credit one elective credit Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 ECON 2P90 , 3P21 , 3P22 and 3Q91 one elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,"4P02 one COSC credit numbered 3 (alpha) 90 or above ECON 3P90 , 4P13 and 4P14 one-half ECON credit numbered 2 (alpha) 90 or above one elective credit BA (honours) Computer Science and Geography Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 one credit from GEOG 1P01 , 1P02, 1P03 MATH 1P66 and 1P67 one Humanities context credit one elective credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 GEOG 2P07 and 2P21 one GEOG credit numbered 2 (alpha) 00 to 2 (alpha) 99 from Group A or D (see Geography department) MATH 1P97 STAT 1P98 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 GEOG 3P21 and 3P57 one and one-half GEOG credits numbered 2 (alpha) 90 to 3 (alpha) 99 from Group A, C or D (see Geography department; see program note 5 ) one-half elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,"4P02 one COSC credit numbered 3 (alpha) 90 or above (see program note 5 ) GEOG 4F99 one GEOG credit numbered 3 (alpha) 90 or above from Group A, C or D (see Geography department) one elective credit BSc (honours) Computer Science and Geography Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,"1P03 one credit from GEOG 1P10 , 1P11 , 1P12 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit Year 2",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P12 and 2P13 GEOG 2P07 , 2P08 and 2P21 GEOG 2P05 or 2P18 MATH 1P97 STAT 1P98 Year 3",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,COSC 3P03,", 3P32 and 3P71 GEOG 3P21 and 3P56 one and one-half GEOG credits numbered 2 (alpha) 90 to 3 (alpha) 99 from Group B, C or D (see Geography department; see program note 5 ) one-half elective credit Year 4",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 4P01,COSC,4P01,,and,"4P02 one COSC credit numbered 3 (alpha) 90 or above (see program note 5 ) GEOG 4F99 one GEOG credit numbered 3 (alpha) 90 or above from Group B, C or D (see Geography department) one elective credit Concentration Program Artificial Intelligence Concentration in Software Engineering This concentration does not lead to a professional engineering degree. Students can earn a Concentration in Software Engineering by successfully completing the courses listed below as part of their academic work leading to an Honours BSc in Computer Science degree:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P13 , 3P03 , 3P32 , 3P71 , 4P01 , 4P02 , and 4P61 two credits from",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P92,COSC,3P92,,",","3P94 , 3P95 , 3P97 , 3P99 , 4F90 , 4P03 , 4P13 , 4P14 . 4P42 Concentration in Artificial Intelligence Students can earn a Concentration in Artificial Intelligence by successfully completing the courses listed below as part of their academic work leading to an Honours BSc in Computer Science degree:",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P03,COSC,2P03,,",","2P05 , 2P13 , 3P03 , 3P32 , 3P71 , 4P01 , 4P02 and 4P61 two credits from",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P96,COSC,3P96,,",","3P99 , 4F90 , 4P78 , 4P80 , 4P81 , 4P82 , 4P83 , 4P84 , 4P96 Minor in Applied Computing Computer Science (single or combined), Computing and Business , Computing and Network Communications , Computing and Solid-State Device Technology , and Game Programming majors may not obtain a minor in Applied Computing. Students in other disciplines may obtain a minor in Applied Computing within their degree program by completing the following courses with a minimum 60 percent overall average: Four APCO or COSC credits Brock/Colleges Articulation Agreement Brock-Sheridan College This agreement allows Brock University to admit students from the Sheridan College Computer Science Technology Advanced Diploma Program who have a minimum GPA of 3.5 (80 percent) to the BSc (Honours) Computer Science or BSc with Major Computer Science program. At admission, the student will be awarded seven credits towards either of these degrees. After completion of five credits at Brock University, the student may be eligible for up to two additional transfer credits. Normally the requirements for the BSc (Honours) and with Major degrees can be completed within two to three years. The schedule of transferable courses is available from the Admissions Office. Master of Science (MSc) Program Candidates with either an Honours or a Pass BSc degree in Computer Science, or equivalent, may apply to the Director of the Graduate Studies Office for entry into this program. Candidates holding a Pass degree will be required to take a qualifying year, similar to year 4 of the Honours program, before formally enrolling for the MSc degree. Candidates may be required to write Graduate Record Aptitude Examinations. Candidates with an Honours degree, or who have completed a qualifying year, require a minimum of one year of full-time study. The department offers a wide range of courses and research opportunities. For further information about the MSc program see the Graduate Calendar and the department's Graduate Studies brochure. Course Descriptions Note that not all courses are offered in every session. Refer to the applicable term timetable for details. # Indicates a cross listed course * Indicates primary offering of a cross listed course Prerequisites and Restrictions Students must check to ensure that prerequisites are met. Students may be deregistered, at the request of the instructor, from any course for which prerequisites and/or restrictions have not been met.",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,APPLIED COMPUTING COURSES,and,"IASC 1P50 ) Issues in use of information technology including historic and social perspectives; legal, ethical and moral issues; intellectual property, licensing and copyright; privacy and freedom of expression; professional conduct and information literacy.",,,"not open to COSC (single or combined), BCB, CAST , CNET and DASA majors.","this course involves seminars and considerable written work. A good command of written and spoken English is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. *APCO 1P93 Applied Programming (also offered as IASC 1P93 ) Modern software techniques including problem solving and design of effective algorithms, structured program design methodology, subprogram library usage, documentation, correctness, floating-point arithmetic and error analysis.","Lectures, 3 hours per week; seminar, 1.5 hours per week. Lectures, 3 hours per week; lab, 2 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P00,APCO,1P00,APPLIED COMPUTING COURSES,or 4U Mathematics credit.,,APCO 1P01 (minimum 60 percent) or,,open to APCO minors until date specified in Registration guide.,"this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. *APCO 2P11 Personal Computers and Networks (also offered as IASC 2P11 ) Inner workings of modern computers from a user's point of view. Understanding the hardware, network and system software. Topics include CPUs, memory, video, input/output, networks, security, installation of operating systems and hands-on trouble shooting.","Lectures, 3 hours per week; lab, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,APPLIED COMPUTING COURSES,.,,,,,"this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in",,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 2P01,APCO,2P01,APPLIED COMPUTING COURSES,.,"#APCO 2P61 Website Creation (also offered as STAC 2P61 and VISA 2P61 ) Creative approaches to basic technical and design foundations of website design and development. Processing and management of images and other media assets, structuring websites, development tools and applications, web hosting and dissemination strategies. Contemporary web-based art practices within the broader history of cultural production.",VISA 1P95 (minimum 60 percent) and 1P96 (minimum 60 percent) or permission of the instructor.,,"open to STAC , VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors until date specified in Registration guide. After that date open to STAC , VISA (single or combined), VISA (Honours)/BEd (Intermediate/Senior) majors and APCO minors.","students will need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. VISA 1P95 recommended. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. #APCO 2P89 Internet Technologies (also offered as","Lectures, lab, 5 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 2P89,COSC,2P89,APPLIED COMPUTING COURSES,and,"IASC 2P89 ) Concepts and techniques for building and maintaining advanced interactive Web sites. Topics include XML and SGML , database connectivity and forms handling, basic animation, graphics optimization for the Web, scripting, advanced searching and Web design for accessibility.",,,,,"Lectures, 3 hours per week; lab/seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P00,APCO,1P00,APPLIED COMPUTING COURSES,(minimum 60 percent) and,1P01 (minimum 60 percent) or,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P03,COSC,1P03,APPLIED COMPUTING COURSES,(minimum 60 percent).,,,,,"this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 2P99,APCO,2P99,APPLIED COMPUTING COURSES,Project in Applied Computing,"Development project in computing, Internet programming or directed reading essay under the supervision of a faculty member.",two APCO credits (minimum 70 percent).,,,"students may propose their own projects for departmental approval or may apply for a project proposed by a faculty member. Further information (including project guidelines and project list) is available on the department Web pages. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. #APCO 3P94 Human Computer Interaction (also offered as",,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P94,COSC,3P94,APPLIED COMPUTING COURSES,and,"IASC 3P94 ) Human factors in the design and support of computing systems. Design methodologies such as GOMS , TAGs and Task Analysis. Design principles relating to various interaction paradigms.","two credits from APCO (minimum 60 percent), COSC (minimum 60 percent), IASC (minimum 60 percent).",,,"this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.","Lectures, 3 hours per week; lab/seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,COMPUTER SCIENCE COURSES,Introduction to Computer Science,"Foundations of Computer Science and computer programming in a high-level language. Topics include computer fundamentals, representation of information, problem solving and software development, programming language syntax and semantics, methods, input/output, control structures and data types.",,,,"This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.","Lectures, 3 hours per week; lab, 2 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
