chunk_id,course_code,title,section,chunk_index,text,source_file
52,COSC 1P50,COSC 3P03,,1,"Course: COSC 1P50 - COSC 3P03 Description: , 3P32 and 3P71 MATH 1P12 STAT 1P98 two credits in co-major discipline Year 4",2024-2025-Undergraduate-Calendar-Computer-Science.html
53,COSC 4P01,and,,1,Course: COSC 4P01 - and Description: 4P02 one COSC credit numbered 3 (alpha) 90 or above two credits in the co-major discipline numbered 3 (alpha) 90 or above one elective credit BSc (honours) Computer Science and Mathematics Year 1,2024-2025-Undergraduate-Calendar-Computer-Science.html
54,COSC 1P02,and,,1,"Course: COSC 1P02 - and Description: 1P03 MATH 1P01 , 1P02, 1P66 and 1P67 one Humanities context credit one Social Sciences context credit Year 2",2024-2025-Undergraduate-Calendar-Computer-Science.html
55,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P12 and 2P13 MATH 1P11 , 1P40 , and 2P03 STAT 2P81 one elective credit Year 3",2024-2025-Undergraduate-Calendar-Computer-Science.html
56,COSC 1P50,COSC 2P95,,1,"Course: COSC 1P50 - COSC 2P95 Description: , 3P03 and 3P32 MATH 2P40 MATH 2P12 or 2P92 STAT 2P82 one-half MATH credit (see program note 8 ) one elective credit Year 4",2024-2025-Undergraduate-Calendar-Computer-Science.html
57,COSC 4P01,and,,1,Course: COSC 4P01 - and Description: 4P02 one COSC credit numbered 3 (alpha) 90 or above MATH 3P60 and 4P61 one-half MATH credit (see program note 8 ) one-half MATH credit numbered 3 (alpha) 90 or above (see program note 8 ) one elective credit numbered 2 (alpha) 00 or above BSc Computer Science and Mathematics Co-op (honours only) Consult the Mathematics entry for a listing of program requirements. BSc (honours) Computer Science and Physics Consult the Physics entry for a listing of program requirements. BA (honours; with Major) or BSc (honours; with Major) Computer Science and a Humanities or a Social Sciences Year 1,2024-2025-Undergraduate-Calendar-Computer-Science.html
58,COSC 1P02,and,,1,Course: COSC 1P02 - and Description: 1P03 MATH 1P66 and 1P67 one credit in the co-major discipline one Humanities context credit (see program note 3 ) one Social Sciences context credit (see program note 3 ) Year 2,2024-2025-Undergraduate-Calendar-Computer-Science.html
59,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P12 and 2P13 two credits in the co-major discipline one elective credit Year 3",2024-2025-Undergraduate-Calendar-Computer-Science.html
60,COSC 1P50,COSC 3P03,,1,"Course: COSC 1P50 - COSC 3P03 Description: , 3P32 and 3P71 MATH 1P97 STAT 1P98 two credits in the co-major discipline Year 4",2024-2025-Undergraduate-Calendar-Computer-Science.html
61,COSC 4P01,and,,1,Course: COSC 4P01 - and Description: 4P02 one COSC credit numbered 3 (alpha) 90 or above two credits in the co-major discipline numbered 3 (alpha) 90 or above one elective credit BSc (Honours) Computer Science and Visual Arts Year 1,2024-2025-Undergraduate-Calendar-Computer-Science.html
62,COSC 1P02,and,,1,"Course: COSC 1P02 - and Description: 1P03 VISA 1P95 , 1P96 , 1Q98 and 1Q99 MATH 1P66 and 1P67 one Social Sciences context credit Year 2",2024-2025-Undergraduate-Calendar-Computer-Science.html
63,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P12 and 2P13 VISA 2P61 and 2P96 one VISA credit numbered 2 (alpha) 00 or above ( VISA 2P97 and 2P98 recommended) one elective credit Year 3",2024-2025-Undergraduate-Calendar-Computer-Science.html
64,COSC 1P50,COSC 3P03,,1,"Course: COSC 1P50 - COSC 3P03 Description: , 3P32 and 3P71 one VISA credit numbered 3 (alpha) 00 or above (VISA 3F96 recommended) MATH 1P12 and 1P97 one elective credit numbered 2 (alpha) 00 or above Year 4",2024-2025-Undergraduate-Calendar-Computer-Science.html
65,COSC 2P89,",",,1,"Course: COSC 2P89 - , Description: 3P98 , 4P01 and 4P02 one VISA credit numbered 2 (alpha) 00 or above one and one-half VISA credits numbered 3 (alpha) 90 or above STAT 1P98 BA (honours) or BSc (honours) Computer Science and Economics Year 1",2024-2025-Undergraduate-Calendar-Computer-Science.html
66,COSC 1P02,and,,1,"Course: COSC 1P02 - and Description: 1P03 ECON 1P91 and 1P92 MATH 1P66 , 1P67 , and 1P97 (see program note 4 ) STAT 1P98 (see program note 4 ) one Humanities context credit Year 2",2024-2025-Undergraduate-Calendar-Computer-Science.html
67,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P12 and 2P13 ECON 2P21 , 2P22 and 2P30 one-half ECON credit one elective credit Year 3",2024-2025-Undergraduate-Calendar-Computer-Science.html
68,COSC 1P50,COSC 3P03,,1,"Course: COSC 1P50 - COSC 3P03 Description: , 3P32 and 3P71 ECON 2P90 , 3P21 , 3P22 and 3Q91 one elective credit Year 4",2024-2025-Undergraduate-Calendar-Computer-Science.html
69,COSC 4P01,and,,1,"Course: COSC 4P01 - and Description: 4P02 one COSC credit numbered 3 (alpha) 90 or above ECON 3P90 , 4P13 and 4P14 one-half ECON credit numbered 2 (alpha) 90 or above one elective credit BA (honours) Computer Science and Geography Year 1",2024-2025-Undergraduate-Calendar-Computer-Science.html
70,COSC 1P02,and,,1,"Course: COSC 1P02 - and Description: 1P03 one credit from GEOG 1P01 , 1P02, 1P03 MATH 1P66 and 1P67 one Humanities context credit one elective credit Year 2",2024-2025-Undergraduate-Calendar-Computer-Science.html
71,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P12 and 2P13 GEOG 2P07 and 2P21 one GEOG credit numbered 2 (alpha) 00 to 2 (alpha) 99 from Group A or D (see Geography department) MATH 1P97 STAT 1P98 Year 3",2024-2025-Undergraduate-Calendar-Computer-Science.html
72,COSC 1P50,COSC 3P03,,1,"Course: COSC 1P50 - COSC 3P03 Description: , 3P32 and 3P71 GEOG 3P21 and 3P57 one and one-half GEOG credits numbered 2 (alpha) 90 to 3 (alpha) 99 from Group A, C or D (see Geography department; see program note 5 ) one-half elective credit Year 4",2024-2025-Undergraduate-Calendar-Computer-Science.html
73,COSC 4P01,and,,1,"Course: COSC 4P01 - and Description: 4P02 one COSC credit numbered 3 (alpha) 90 or above (see program note 5 ) GEOG 4F99 one GEOG credit numbered 3 (alpha) 90 or above from Group A, C or D (see Geography department) one elective credit BSc (honours) Computer Science and Geography Year 1",2024-2025-Undergraduate-Calendar-Computer-Science.html
74,COSC 1P02,and,,1,"Course: COSC 1P02 - and Description: 1P03 one credit from GEOG 1P10 , 1P11 , 1P12 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit Year 2",2024-2025-Undergraduate-Calendar-Computer-Science.html
75,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P12 and 2P13 GEOG 2P07 , 2P08 and 2P21 GEOG 2P05 or 2P18 MATH 1P97 STAT 1P98 Year 3",2024-2025-Undergraduate-Calendar-Computer-Science.html
76,COSC 1P50,COSC 3P03,,1,"Course: COSC 1P50 - COSC 3P03 Description: , 3P32 and 3P71 GEOG 3P21 and 3P56 one and one-half GEOG credits numbered 2 (alpha) 90 to 3 (alpha) 99 from Group B, C or D (see Geography department; see program note 5 ) one-half elective credit Year 4",2024-2025-Undergraduate-Calendar-Computer-Science.html
77,COSC 4P01,and,,1,"Course: COSC 4P01 - and Description: 4P02 one COSC credit numbered 3 (alpha) 90 or above (see program note 5 ) GEOG 4F99 one GEOG credit numbered 3 (alpha) 90 or above from Group B, C or D (see Geography department) one elective credit Concentration Program Artificial Intelligence Concentration in Software Engineering This concentration does not lead to a professional engineering degree. Students can earn a Concentration in Software Engineering by successfully completing the courses listed below as part of their academic work leading to an Honours BSc in Computer Science degree:",2024-2025-Undergraduate-Calendar-Computer-Science.html
78,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P13 , 3P03 , 3P32 , 3P71 , 4P01 , 4P02 , and 4P61 two credits from",2024-2025-Undergraduate-Calendar-Computer-Science.html
79,COSC 3P92,",",,1,"Course: COSC 3P92 - , Description: 3P94 , 3P95 , 3P97 , 3P99 , 4F90 , 4P03 , 4P13 , 4P14 . 4P42 Concentration in Artificial Intelligence Students can earn a Concentration in Artificial Intelligence by successfully completing the courses listed below as part of their academic work leading to an Honours BSc in Computer Science degree:",2024-2025-Undergraduate-Calendar-Computer-Science.html
80,COSC 2P03,",",,1,"Course: COSC 2P03 - , Description: 2P05 , 2P13 , 3P03 , 3P32 , 3P71 , 4P01 , 4P02 and 4P61 two credits from",2024-2025-Undergraduate-Calendar-Computer-Science.html
81,COSC 3P96,",",,1,"Course: COSC 3P96 - , Description: 3P99 , 4F90 , 4P78 , 4P80 , 4P81 , 4P82 , 4P83 , 4P84 , 4P96 Minor in Applied Computing Computer Science (single or combined), Computing and Business , Computing and Network Communications , Computing and Solid-State Device Technology , and Game Programming majors may not obtain a minor in Applied Computing. Students in other disciplines may obtain a minor in Applied Computing within their degree program by completing the following courses with a minimum 60 percent overall average: Four APCO or COSC credits Brock/Colleges Articulation Agreement Brock-Sheridan College This agreement allows Brock University to admit students from the Sheridan College Computer Science Technology Advanced Diploma Program who have a minimum GPA of 3.5 (80 percent) to the BSc (Honours) Computer Science or BSc with Major Computer Science program. At admission,",2024-2025-Undergraduate-Calendar-Computer-Science.html
82,COSC 3P96,",",,2,"the student will be awarded seven credits towards either of these degrees. After completion of five credits at Brock University, the student may be eligible for up to two additional transfer credits. Normally the requirements for the BSc (Honours) and with Major degrees can be completed within two to three years. The schedule of transferable courses is available from the Admissions Office. Master of Science (MSc) Program Candidates with either an Honours or a Pass BSc degree in Computer Science, or equivalent, may apply to the Director of the Graduate Studies Office for entry into this program. Candidates holding a Pass degree will be required to take a qualifying year, similar to year 4 of the Honours program, before formally enrolling for the MSc degree. Candidates may be required to write Graduate Record Aptitude Examinations. Candidates with an Honours degree,",2024-2025-Undergraduate-Calendar-Computer-Science.html
83,COSC 3P96,",",,3,"or who have completed a qualifying year, require a minimum of one year of full-time study. The department offers a wide range of courses and research opportunities. For further information about the MSc program see the Graduate Calendar and the department's Graduate Studies brochure. Course Descriptions Note that not all courses are offered in every session. Refer to the applicable term timetable for details. # Indicates a cross listed course * Indicates primary offering of a cross listed course Prerequisites and Restrictions Students must check to ensure that prerequisites are met. Students may be deregistered, at the request of the instructor, from any course for which prerequisites and/or restrictions have not been met.",2024-2025-Undergraduate-Calendar-Computer-Science.html
84,COSC 1P50,and,APPLIED COMPUTING COURSES,1,"Course: COSC 1P50 - and Section: APPLIED COMPUTING COURSES Description: IASC 1P50 ) Issues in use of information technology including historic and social perspectives; legal, ethical and moral issues; intellectual property, licensing and copyright; privacy and freedom of expression; professional conduct and information literacy. Restrictions: not open to COSC (single or combined), BCB, CAST , CNET and DASA majors. Notes: this course involves seminars and considerable written work. A good command of written and spoken English is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. *APCO 1P93 Applied Programming (also offered as IASC 1P93 ) Modern software techniques including problem solving and design of effective algorithms, structured program design methodology,",2024-2025-Undergraduate-Calendar-Computer-Science.html
85,COSC 1P50,and,APPLIED COMPUTING COURSES,2,"subprogram library usage, documentation, correctness, floating-point arithmetic and error analysis. Delivery: Lectures, 3 hours per week; seminar, 1.5 hours per week. Lectures, 3 hours per week; lab, 2 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
86,APCO 1P00,or 4U Mathematics credit.,APPLIED COMPUTING COURSES,1,"Course: APCO 1P00 - or 4U Mathematics credit. Section: APPLIED COMPUTING COURSES Prerequisites: APCO 1P01 (minimum 60 percent) or Restrictions: open to APCO minors until date specified in Registration guide. Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. *APCO 2P11 Personal Computers and Networks (also offered as IASC 2P11 ) Inner workings of modern computers from a user's point of view. Understanding the hardware, network and system software. Topics include CPUs, memory, video, input/output, networks, security, installation of operating systems and hands-on trouble shooting. Delivery: Lectures, 3 hours per week; lab, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
87,COSC 1P02,.,APPLIED COMPUTING COURSES,1,"Course: COSC 1P02 - . Section: APPLIED COMPUTING COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in",2024-2025-Undergraduate-Calendar-Computer-Science.html
